PostID,UserID,Content,MediaUrl,Visibility,LikesCount,CommentsCount,CreatedAt,UpdatedAt,IsDeleted
1,b1c13a86-f3f3-4296-9ba5-03cce3a8b118,"Hôm nay thời tiết đẹp quá! Ai rảnh đi cafe không? ☕",https://example.com/media/post1.jpg,Public,15,8,2025-10-20 08:30:15,,False
PostID,UserID,Content,MediaUrl,Visibility,LikesCount,CommentsCount,CreatedAt,UpdatedAt,False
1,b1c13a86-f3f3-4296-9ba5-03cce3a8b118,AI đang thay đổi thế giới nhanh hơn chúng ta tưởng.,https://picsum.photos/500/300?random=1,Public,8,4,2025-04-30 02:22:53,2025-08-14 06:24:02,False
2,b633242c-be5a-4e15-ac8d-989253896723,Hệ điều hành mới cập nhật có lỗi gì không mọi người?,https://picsum.photos/500/300?random=2,Friends,12,7,2021-07-08 21:37:02,2021-10-18 10:27:30,False
3,6b654c3a-4ade-4da9-a267-5c9ab8730007,Mẫu điện thoại mới ra mắt có đáng tiền không?,,Public,15,9,2025-03-03 23:00:13,,False
4,5c732c78-6c05-4d6b-9a31-adc02ce52b1f,Mọi người nghĩ sao về thị trường chứng khoán tuần tới?,https://picsum.photos/500/300?random=4,Public,22,11,2022-01-26 15:00:40,2024-08-24 16:54:45,False
5,e93f824e-29ba-4795-9bb2-3056bf1ef180,Pin của máy này đúng là một điểm trừ lớn ạ.,https://picsum.photos/500/300?random=5,Public,18,8,2025-09-19 12:43:46,2025-10-03 19:09:16,False
6,33694092-0610-4088-8274-cedd56c1a2ec,AI đang thay đổi thế giới nhanh hơn chúng ta tưởng.,,Public,14,6,2023-05-31 15:44:48,2023-10-31 17:07:20,False
7,6eed39c9-83b8-43e6-95ab-83c9625e1bf8,Hệ điều hành mới cập nhật có lỗi gì không mọi người?,https://picsum.photos/500/300?random=7,Friends,20,10,2024-06-28 00:12:15,2025-10-05 14:54:22,False
8,6fa3fa03-a468-4ae0-8789-2f0d52493a6a,Cổ phiếu ngành công nghệ đang dẫn dắt thị trường.,https://picsum.photos/500/300?random=8,Public,25,12,2021-01-03 11:17:54,2024-04-11 21:33:45,False
9,23b59c80-4a91-47ee-b051-7eacf6f2ca41,Bạn nghĩ ai sẽ vô địch giải năm nay?,https://picsum.photos/500/300?random=9,Public,32,16,2023-07-24 00:43:31,,False
10,558cdd20-e089-414a-b7bd-18fca64d2608,Lãi suất tiết kiệm dạo này có vẻ không hấp dẫn lắm.,,Public,19,8,2021-02-25 10:07:45,2024-04-01 22:20:53,False
11,5403dc51-6709-460c-90b3-8e9abebce43a,Mẫu điện thoại mới ra mắt có đáng tiền không?,https://picsum.photos/500/300?random=11,Public,28,13,2025-04-02 00:49:01,2025-06-17 00:18:20,False
12,9f010aa5-3bc0-454a-943d-06055f729f48,Mọi người nghĩ sao về thị trường chứng khoán tuần tới?,https://picsum.photos/500/300?random=12,Public,30,15,2023-12-18 07:31:21,2024-10-18 00:41:14,False
13,3659ba56-1673-4e28-a06e-494184f2b2f1,Mẫu điện thoại mới ra mắt có đáng tiền không?,https://picsum.photos/500/300?random=13,Public,24,11,2025-05-10 11:32:08,,False
14,1d837871-8735-4141-83d9-592d9aef042a,Hè này nên đi biển nào đẹp mà vắng người nhỉ?,https://picsum.photos/500/300?random=14,Friends,16,7,2021-07-29 10:26:13,2023-11-09 13:46:48,False
15,03023a08-98b0-4a9c-9562-584d7c7624c1,Ai có kinh nghiệm du lịch một mình không?,,Public,22,10,2022-10-04 02:41:36,2023-02-13 11:24:22,False
16,2d377520-e359-48c2-b2d6-cf0de98f9cce,Trận đấu tối qua mãn nhãn thật sự!,https://picsum.photos/500/300?random=16,Friends,18,8,2024-08-23 10:37:39,,False
17,84e33ae0-3e05-49c9-8493-a57f9083ea0f,AI đang thay đổi thế giới nhanh hơn chúng ta tưởng.,https://picsum.photos/500/300?random=17,Public,26,12,2025-04-30 02:22:53,2025-08-14 06:24:02,False
18,2ce01aad-5a0e-481d-b48c-382fe9a44381,AI đang thay đổi thế giới nhanh hơn chúng ta tưởng.,https://picsum.photos/500/300?random=18,Public,35,14,2025-01-23 21:09:57,2025-08-25 18:54:31,False
19,fc164408-145d-450e-84f6-df51ec926eca,Pin của máy này đúng là một điểm trừ lớn ạ.,,Public,20,9,2025-08-20 23:49:41,2025-09-06 11:07:56,False
